X,Y
50.0,0.0
100.0,0.0
150.0,0.0
200.0,0.0
250.0,0.0
300.0,0.0
350.0,0.0
400.0,0.0
450.0,0.0
500.0,0.0
550.0,0.0
600.0,0.0
650.0,0.0
700.0,0.0
750.0,0.0
800.0,0.0
850.0,0.0
900.0,0.0
950.0,0.0
1000.0,0.0
1050.0,0.0
1100.0,0.0
1150.0,0.0
1200.0,0.0
1250.0,0.0
1300.0,0.0
1350.0,0.0
1400.0,0.0
1450.0,0.0
1500.0,0.0
1550.0,0.01
1600.0,0.0
1650.0,0.0
1700.0,0.0
1750.0,0.0
1800.0,0.0
1850.0,0.0
1900.0,0.0
1950.0,0.0
2000.0,0.0
2050.0,0.0
2100.0,0.0
2150.0,0.0
2200.0,0.0
2250.0,0.0
2300.0,0.0
2350.0,0.0
2400.0,0.0
2450.0,0.0
2500.0,0.01
2550.0,0.0
2600.0,0.0
2650.0,0.02
2700.0,0.0
2750.0,0.01
2800.0,0.01
2850.0,0.01
2900.0,0.04
2950.0,0.1
3000.0,0.07
3050.0,0.07
3100.0,0.23
3150.0,0.18
3200.0,0.25
3250.0,0.16
3300.0,0.2
3350.0,0.22
3400.0,0.23
3450.0,0.19
3500.0,0.19
3550.0,0.24
3600.0,0.43
3650.0,0.25
3700.0,0.25
3750.0,0.31
3800.0,0.41
3850.0,0.29
3900.0,0.43
3950.0,0.49
4000.0,0.41
4050.0,0.45
4100.0,0.49
4150.0,0.45
4200.0,0.4
4250.0,0.5
4300.0,0.46
4350.0,0.44
4400.0,0.56
4450.0,0.63
4500.0,0.42
4550.0,0.44
4600.0,0.48
4650.0,0.48
4700.0,0.61
4750.0,0.57
4800.0,0.57
4850.0,0.55
4900.0,0.57
4950.0,0.7
5000.0,0.6
