X,Y
50.0,0.0
100.0,0.0
150.0,0.0
200.0,0.0
250.0,0.0
300.0,0.0
350.0,0.0
400.0,0.0
450.0,0.0
500.0,0.0
550.0,0.0
600.0,0.0
650.0,0.0
700.0,0.0
750.0,0.0
800.0,0.0
850.0,0.0
900.0,0.0
950.0,0.0
1000.0,0.0
1050.0,0.0
1100.0,0.0
1150.0,0.0
1200.0,0.0
1250.0,0.0
1300.0,0.0
1350.0,0.0
1400.0,0.0
1450.0,0.0
1500.0,0.0
1550.0,0.0
1600.0,0.0
1650.0,0.01
1700.0,0.0
1750.0,0.0
1800.0,0.0
1850.0,0.0
1900.0,0.0
1950.0,0.0
2000.0,0.07
2050.0,0.01
2100.0,0.0
2150.0,0.04
2200.0,0.04
2250.0,0.06
2300.0,0.07
2350.0,0.17
2400.0,0.14
2450.0,0.12
2500.0,0.11
2550.0,0.17
2600.0,0.15
2650.0,0.15
2700.0,0.25
2750.0,0.24
2800.0,0.15
2850.0,0.28
2900.0,0.32
2950.0,0.37
3000.0,0.32
3050.0,0.4
3100.0,0.39
3150.0,0.4
3200.0,0.29
3250.0,0.37
3300.0,0.31
3350.0,0.39
3400.0,0.43
3450.0,0.39
3500.0,0.32
3550.0,0.34
3600.0,0.43
3650.0,0.37
3700.0,0.51
3750.0,0.5
3800.0,0.5
3850.0,0.41
3900.0,0.54
3950.0,0.53
4000.0,0.61
4050.0,0.7
4100.0,0.5
4150.0,0.65
4200.0,0.68
4250.0,0.66
4300.0,0.65
4350.0,0.64
4400.0,0.59
4450.0,0.71
